Time (s),Set Temperature (°C),Current Temperature (°C), Proportional, Integral, Derivative, Output Current (A)
64.53933262825012,60.0,45.85792756675553,28.284144866488944,12.837256844597391,1.3044248858169538,424.2582659690329
66.22708368301392,60.0,45.891965149962864,28.21606970007427,14.248060329601106,-0.004424885816953719,424.59705143858423
67.92024946212769,60.0,45.99407998218651,28.011840035626975,15.648652331382454,-0.013274928189074303,436.4721743882035
69.6462459564209,60.0,46.09619793853712,27.807604122925767,17.039032537528744,-0.0132753343255785,448.3336132612893
71.72464323043823,60.0,46.33448532101298,27.331029357974046,18.405584005427446,-0.03097735972186186,457.05636003679626
73.54244470596313,60.0,46.53874519073653,26.922509618526945,19.751709486353793,-0.026553783064061563,466.47665321816675
75.36088442802429,60.0,46.743017563085644,26.513964873828712,21.07740773004523,-0.026555408405385138,475.64817195468555
77.18686485290527,60.0,46.98135113582009,26.037297728359817,22.379272616463222,-0.030983364455478155,483.85586980367566
79.06401062011719,60.0,47.219701732789794,25.560596534420412,23.657302443184243,-0.03098557760606134,491.86913399998593
80.92297959327698,60.0,47.424015797146126,25.15196840570775,24.91490086346963,-0.02656082836632315,500.40308440811054
82.7267050743103,60.0,47.69645401403293,24.60709197193414,26.145255462066338,-0.035416968195284615,507.16930465805194
84.54825687408447,60.0,47.934855705607596,24.130288588784808,27.351769891505576,-0.030992219904706533,514.5106626038568
86.34332871437073,60.0,48.207335645788966,23.585328708422068,28.531036326926678,-0.03542239222357807,520.8094264312517
88.09161186218262,60.0,48.513902186736274,22.97219562652745,29.67964610825305,-0.039853650323150094,526.1198808445736
90.11859321594238,60.0,48.82049690859875,22.359006182802503,30.797596417393176,-0.039857313842121656,531.1674528635356
92.1915717124939,60.0,49.1611907718135,21.677618456372997,31.881477340211827,-0.04429020221791788,535.1480559436691
93.95534992218018,60.0,49.46784501225021,21.064309975499583,32.934692838986805,-0.03986505125677191,539.5913776322961
95.72359561920166,60.0,49.74045023742658,20.519099525146842,33.96064781524415,-0.03543867927292815,544.4430866111807
97.46693754196167,60.0,50.047157760716026,19.90568447856795,34.955932039172545,-0.039871978027628076,548.2174453971287
99.1635594367981,60.0,50.353893503821624,19.292212992356752,35.920542688790384,-0.03987564660372776,551.7288003454341
100.86575198173523,60.0,50.626571194701164,18.746857610597672,36.85788556932027,-0.03544809981434021,555.692950801036
102.68835425376892,60.0,51.00153944681391,17.996921106372184,37.75773162463888,-0.048745872774656716,557.059068582364
104.37062120437622,60.0,51.30836303474157,17.383273930516864,38.626895321164724,-0.039887066430595794,559.7028218525099
106.05646562576294,60.0,51.58111883027423,16.837762339451544,39.4687834381373,-0.035458253419245835,562.710875241696
107.87804555892944,60.0,51.92209497400634,16.155810051987316,40.27657394073666,-0.04432689868517478,563.880570940388
109.57518672943115,60.0,52.2290033409586,15.541993318082802,41.05367360664081,-0.03989808770379341,565.5576883701982
111.29158735275269,60.0,52.535939983206255,14.92812003358749,41.800079608320175,-0.03990176349219532,566.8829787841547
113.16846108436584,60.0,52.84290490856606,14.314190182867875,42.51578911746357,-0.039905440296774945,567.9007386003467
114.87109279632568,60.0,53.184010228916996,13.631979542166007,43.19738809457187,-0.04434369164562142,567.8502394509226
116.58898878097534,60.0,53.49103488875352,13.017930222492964,43.84828460569652,-0.03991320577874781,568.2630162241073
118.38675475120544,60.0,53.79808785604277,12.40382428791446,44.46847582009224,-0.03991688574760275,568.3238322225909
120.10108876228333,60.0,54.07104759757866,11.857904804842676,45.06137106033437,-0.035484766399666016,568.8379109877737
121.80264830589294,60.0,54.37815405587058,11.243691888258837,45.623555654747314,-0.039923839577949496,568.273237034282
123.75699472427368,60.0,54.6852888442485,10.629422311503006,46.155026770322465,-0.03992752248912901,567.4452155933634
125.45563292503357,60.0,54.95832133465038,10.083357330699243,46.65919463685742,-0.03549422375224459,567.0705774380442
127.15902256965637,60.0,55.26550965681141,9.46898068637718,47.13264367117628,-0.039934481880934174,565.6168987567253
128.9918475151062,60.0,55.50445350888021,8.991092982239579,47.58219832028826,-0.031062700768944043,565.422286017589
130.68670463562012,60.0,55.811692241357875,8.37661551728425,48.00102909615248,-0.03994103522209635,563.3770357821463
132.375417470932,60.0,56.05067531110318,7.898649377793646,48.39596156504216,-0.03106779906688928,562.6354314376891
134.1553008556366,60.0,56.323819836504924,7.352360326990151,48.76357958139167,-0.035508788302227146,560.804311200796
135.85984420776367,60.0,56.56283969036502,6.874320619269966,49.10729561235516,-0.031072581001812056,559.5054365062331
137.56371212005615,60.0,56.836026264462404,6.327947471075191,49.42369298590892,-0.03551425463266036,557.1612620235145
139.34800839424133,60.0,57.075082919427444,5.849834161145111,49.71618469396617,-0.03107736514545522,555.3494148996582
141.053781747818,60.0,57.31415675406046,5.371686491879075,49.98476901856012,-0.031079598502292357,553.2537591193691
142.7680332660675,60.0,57.5190908601666,4.961818279666801,50.23285993254346,-0.026641433793797804,551.6803677841647
144.5783874988556,60.0,57.72403759312403,4.551924813751938,50.46045617323106,-0.026643075284466064,549.8573791169853
146.30381202697754,60.0,57.928996955267884,4.142006089464232,50.66755647770427,-0.026644717078700923,547.8291785008979
148.03285431861877,60.0,58.099806072699764,3.800387854600473,50.85757587043429,-0.02220518526614434,546.3575853976862
149.86319780349731,60.0,58.30478859441581,3.390422811168378,51.02709701099271,-0.02664772782308617,543.90872094338
151.57844042778015,60.0,58.47561701476277,3.048765970474463,51.17953530951644,-0.02220769464510447,542.060935853458
153.285076379776,60.0,58.68062270390346,2.638754592193081,51.31147303912609,-0.02665073958828984,539.2357689173089
